Post Date,Recruitment Board,Exam / Post Name,Qualification,Advt No,Last Date,More Information
10/09/2025,Bank of Maharashtra,Various Managers     – 350 Posts,"Any Graduate, B.Tech/B.E, M.Sc, MCA",AX1/ST/RP/Specialist Officer/Phase II/2025-26,30-09-2025,Get Details
10/09/2025,RBI,Officers Grade B     – 120 Posts,Any Graduate,RBISB/BA/03/2025-26,30-09-2025,Get Details
10/09/2025,IDBI Bank,Experts     – 02 Posts,"B.Tech/B.E, M.Sc, M.E/M.Tech, MCA",4/ 2025-26,20-09-2025,Get Details
10/09/2025,Punjab and Sind Bank,"Yoga, Acupressure Specialist","Any Graduate, Diploma",–,18-09-2025,Get Details
10/09/2025,Nainital Bank,"CISO, CFO and More     – 04 Posts","B.Sc, B.Tech/B.E, CA, M.E/M.Tech, MCA",–,20-09-2025,Get Details
09/09/2025,IBPS RRB,"Office Assistant, Officers     – 13217 Posts","Any Bachelors Degree, LLB, Diploma, CA, MBA/PGDM",–,21-09-2025,Get Details
08/09/2025,RNSB,Junior Executive,"Any Graduate, Any Post Graduate",–,11-09-2025,Get Details
08/09/2025,BOBCAPS,"Manager, Research Analyst Consumer and More","CA, M.Com, MBA/PGDM",–,30-09-2025,Get Details
08/09/2025,APCOB,Cooperative Interns     – 14 Posts,MBA/PGDM,–,15-09-2025,Get Details
08/09/2025,Sindhudurg DCCB,Clerk     – 73 Posts,"Any Graduate, Any Post Graduate",–,30-09-2025,Get Details
08/09/2025,Kakinada Cooperative Town Bank,Clerk Cum Cashier     – 11 Posts,Any Graduate,–,26-09-2025,Get Details
08/09/2025,BOBCAPS,SVP Investment Banking,"CA, MBA/PGDM",–,15-09-2025,Get Details
08/09/2025,Bihar State Cooperative Bank,Co Operative Interns     – 24 Posts,MBA/PGDM,–,10-09-2025,Get Details
06/09/2025,Canara Bank Securities,Trainee,Any Graduate,–,06-10-2025,Get Details
04/09/2025,RBI,Banks Medical Consultant     – 01 Posts,Other,–,17-09-2025,Get Details
03/09/2025,Punjab and Sind Bank,Physiotherapist,"BPT, MPT",–,10-09-2025,Get Details
03/09/2025,Central Bank of India,Counselor FLC     – 05 Posts,Any Graduate,–,12-09-2025,Get Details
03/09/2025,Karnataka Grameena Bank,"Office Assistant, Assistant Manager, Manager     – 1425 Posts","Any Bachelors Degree, LLB, CA, MBA/PGDM",–,21-09-2025,Get Details
02/09/2025,Punjab and Sind Bank,BMC,"MBBS, MS/MD",–,10-09-2025,Get Details
02/09/2025,ADC Bank,Apprentice Clerk,Any Graduate,–,12-09-2025,Get Details
01/09/2025,APCOB,"Manager, Staff Assistant     – 38 Posts",Any Graduate,–,10-09-2025,Get Details
01/09/2025,India Bank,Authorised Doctor,MBBS,–,15-09-2025,Get Details
29/08/2025,Central Bank of India,Faculty/ Office Assistant/ Attendant     – 06 Posts,"Any Graduate, B.A, B.Ed, B.Sc, 10TH, M.A, MSW",–,15-09-2025,Get Details
29/08/2025,Central Bank of India,"Faculty, Office Assistant","Any Graduate, B.A, B.Com, B.Ed, BSW, M.A, MSW",–,12-09-2025,Get Details
28/08/2025,Bank of Baroda,FLC Counsellor     – 01 Posts,Any Graduate,–,10-09-2025,Get Details
28/08/2025,Exim Bank,Officers     – 08 Posts,"B.Tech/B.E, Any Masters Degree, PG Diploma",HRM/OC/CCG/ESG/INFRA/2025-26/ 04,21-09-2025,Get Details
28/08/2025,Punjab and Sind Bank,Banks Medical Consultant,"MBBS, MS/MD",–,10-09-2025,Get Details
26/08/2025,Bank of Baroda,BC Cordinators     – 15 Posts,"Any Graduate, B.Tech/B.E, M.Sc, MBA/PGDM, MCA",–,10-09-2025,Get Details
25/08/2025,SBI,"Centre Head, Senior Vice President and More     – 12 Posts","B.Tech/B.E, M.Sc, M.E/M.Tech, MCA",CRPD/SCO/2025-26/08,15-09-2025,Get Details
25/08/2025,SBI,Assistant Data Protection Officer     – 1 Posts,Any Graduate,CRPD/SCO/2025-26/07,15-09-2025,Get Details
25/08/2025,SBI,"Deputy Manager, Manager     – 4 Posts",MBA/PGDM,CRPD/SCO/2024-25/09,15-09-2025,Get Details
21/08/2025,BCC Bank,"Junior Assistants, Attender     – 74 Posts","Any Graduate, 10TH",–,10-09-2025,Get Details
16/08/2025,Central Bank of India,Counselor FLCC     – 01 Posts,Any Graduate,–,15-09-2025,Get Details
.,,,,,,
23/08/2025,UPSC,"Lecturer, Assistant Public Prosecutor and More     – 84 Posts","B.Ed, LLB, M.A, M.Sc",12/2025,11-09-2025,Get Details
10/09/2025,IB,Junior Intelligence Officer     – 394 Posts,"BCA, B.Sc, Diploma",–,14-09-2025,Get Details
10/09/2025,NABFINS,Customer Service Officer,12TH,–,27-09-2025,Get Details
09/09/2025,IOCL,Apprentices     – 523 Posts,"B.A, B.Com, B.Sc, Diploma, ITI, 12TH",IOCL/MKTG/NR/APPR/2025-26/01,11-10-2025,Get Details
09/09/2025,EIL,Associate Engineer     – 48 Posts,"B.Sc, B.Tech/B.E",HRD/Rectt./Advt./2025-26/09,24-09-2025,Get Details
09/09/2025,NCLT,"Stenographers, Private Secretaries     – 32 Posts",Any Graduate,–,08-10-2025,Get Details
09/09/2025,Balmer Lawrie,"Assistant Manager, Officer and Other     – 38 Posts","Any Graduate, Any Bachelors Degree, B.Tech/B.E, Diploma, Any Post Graduate, CA, ICWA, M.Sc, MBA/PGDM",–,03-10-2025,Get Details
08/09/2025,BOBCAPS,Business Development Manager     – 70 Posts,"Any Graduate, 12TH",–,30-09-2025,Get Details
08/09/2025,NHAI,"Senior AI Engineer, AI Engineer and Other     – 17 Posts","B.Sc, B.Tech/B.E",–,07-10-2025,Get Details
08/09/2025,RRB,Paramedical Staff     – 434 Posts,"B.Sc, GNM, D.Pharm",03/2025,18-09-2025,Get Details
08/09/2025,Indian Army,NCC Special Entry     – 06 Posts,Any Graduate,–,11-09-2025,Get Details
06/09/2025,IOCL,Engineers/ Officers,B.Tech/B.E,IOCL/CO-HR/Rectt/2025/01,21-09-2025,Get Details
06/09/2025,IB,Security Assistant (Motor Transport)     – 455 Posts,10TH,–,28-09-2025,Get Details
05/09/2025,SJVN,Workman Trainee     – 87 Posts,"Any Graduate, B.Com, ITI, 8TH",124/2025,13-10-2025,Get Details
03/09/2025,EIL,"Engineer, Manager and More     – 19 Posts","Any Graduate, B.Sc, B.Tech/B.E, Diploma",–,18-09-2025,Get Details
02/09/2025,LIC HFL,Apprentices     – 192 Posts,Any Graduate,–,22-09-2025,Get Details
02/09/2025,NHPC,Non Executive     – 248 Posts,"Any Graduate, BCA, B.Sc, B.Tech/B.E, Diploma, Any Masters Degree, CA",NH/Rectt./04/2025,01-10-2025,Get Details
01/09/2025,BEML,"Security Guard, Staff Nurse and More     – 243 Posts","B.Sc, B.Tech/B.E, ITI, 10TH, CA, M.A, MBA/PGDM, PG Diploma, M.Phil/Ph.D, MSW",–,12-09-2025,Get Details
29/08/2025,IOCL,Apprentices     – 537 Posts,"Any Graduate, Diploma, ITI, 12TH",PL/HR/ESTB/APPR (2025)-2,18-09-2025,Get Details
28/08/2025,Indian Air Force,Agniveervayu,"Diploma, 12TH",–,14-09-2025,Get Details
28/08/2025,AAI,Junior Executive     – 976 Posts,"B.Arch, B.Tech/B.E, MCA",09/2025/CHQ,27-09-2025,Get Details
28/08/2025,Oil India,"Senior Officer, Hindi Officer and More     – 102 Posts","Any Graduate, B.Tech/B.E, LLB, M.A, M.Sc, M.E/M.Tech, MBA/PGDM, Member of ICAI, ICSI",HRAQ/REC-EX-B/2025-07,26-09-2025,Get Details
26/08/2025,NHSRCL,"Assistant Technical Manager, Junior Technical Manager     – 36 Posts",B.Tech/B.E,–,15-09-2025,Get Details
21/08/2025,ISRO NRSC,Apprentice     – 96 Posts,"B.A, B.Com, B.Sc, B.Tech/B.E, Diploma, B.Lib",NRSC/RMT/03/2025,11-09-2025,Get Details
19/08/2025,BSF,Head Constable     – 1121 Posts,"ITI, 12TH",–,23-09-2025,Get Details
19/08/2025,Indian Army,Dental Corps     – 30 Posts,"BDS, Master of Dental Surgery",–,17-09-2025,Get Details
12/08/2025,Indian Army,SSC NCC Special Entry     – 70 Posts,Any Graduate,–,10-09-2025,Get Details
12/08/2025,RVNL,"SAP Engineer, Senior Executive and More     – 06 Posts","Any Graduate, BCA, B.Com, B.Tech/B.E, Diploma, M.Com, M.E/M.Tech, MBA/PGDM, MCA",–,10-09-2025,Get Details
11/08/2025,BHEL,Artisan     – 515 Posts,ITI,04/2025,12-09-2025,Get Details
25/07/2025,ESIC,Assistant Professor     – 243 Posts,"DNB, Master of Dental Surgery, MS/MD",–,15-09-2025,Get Details
21/07/2025,EPFO,"AEE, Junior Engineer and More     – 111 Posts","B.Tech/B.E, Diploma",–,15-09-2025,Get Details
22/03/2025,BSF,"Commandant, Deputy Commandant and More     – 9 Posts",Retired Staff,–,30-11-2025,Get Details
08/09/2025,OFBL,Apprentices     – 42 Posts,"B.Tech/B.E, Diploma",01/GTA/OFBL/2025-26,24-09-2025,Get Details
08/08/2025,DRDO DMSRDE,Junior Research Fellowship     – 2 Posts,"B.Tech/B.E, M.Sc, M.E/M.Tech",–,11-09-2025,Get Details
10/09/2025,East Central Railway,"General Duty Medical Practitioners, Specialists Doctor     – 05 Posts","Any Graduate, MBBS, Diploma",–,24-09-2025,Get Details
10/09/2025,MMRCL,Professionals     – 04 Posts,B.Tech/B.E,MMRCL/HR-Rect./202509,05-10-2025,Get Details
10/09/2025,Southern Railway,Sports Person     – 67 Posts,"Any Graduate, ITI, 12TH, 10TH",RRC-02/Sports/2025-26,12-10-2025,Get Details
10/09/2025,RRB,Section Controller     – 368 Posts,Any Graduate,04/2025,14-10-2025,Get Details
09/09/2025,CLW,Sports Person     – 12 Posts,"Any Graduate, 12TH, 10TH",–,23-09-2025,Get Details
06/09/2025,DMRC,"Chief Executive Officer, Dy. HOD     – 02 Posts",B.Tech/B.E,"DMRC/PERS/22/HR/2025 (210, 209)",24-09-2025,Get Details
05/09/2025,RCF,Sports Quota     – 23 Posts,"ITI, 10TH",01/SPQ/2025-26,29-09-2025,Get Details
05/09/2025,RRB,Paramedical Staff     – 434 Posts,"B.Sc, Diploma, GNM, D.Pharm, DMLT",CEN No. 03/2025,18-09-2025,Get Details
04/09/2025,RRC Eastern Railway,"Group C, Group D     – 50 Posts","Any Graduate, ITI, 12TH, 10TH",RRC/ER/Sports Quota/(Open Advertisement)/ 2025-26,09-10-2025,Get Details
03/09/2025,RRC Southern Railway,Scouts and Guides Quota     – 14 Posts,"ITI, 10TH",RRC-01/S&G/2025-26,29-09-2025,Get Details
30/08/2025,RRC Western Railway,Apprentices     – 2865 Posts,"ITI, 12TH, 10TH",01/2025,29-09-2025,Get Details
29/08/2025,IRCON,"Joint General Manager, Manager     – 3 Posts",CA,19/2025,19-09-2025,Get Details
29/08/2025,Konkan Railway,"Assistant Electrical Engineer, Technical Assistant and More     – 80 Posts","B.Tech/B.E, Diploma, ITI",CO/P-R/8C/2025,18-09-2025,Get Details
28/08/2025,Southern Railway,Apprentices     – 3518 Posts,"ITI, 12TH, 10TH",CPB/P1/98/Act/TP/Vol.XXI,25-09-2025,Get Details
26/08/2025,Northern Railway,HVS consultant     – 07 Posts,"Any Post Graduate, PG Diploma",–,20-09-2025,Get Details
26/08/2025,RITES,Resident Lab Technician     – 3 Posts,"B.Tech/B.E, M.Sc",–,14-09-2025,Get Details
26/08/2025,Northern Railway,Honorary Visiting Specialists     – 07 Posts,Any Post Graduate,40-Med/HVS/FZR,20-09-2025,Get Details
22/08/2025,MRVC,Project Engineer     – 04 Posts,B.Tech/B.E,–,18-09-2025,Get Details
14/08/2025,RRC Eastern Railway,Apprentices     – 3115 Posts,"ITI, 10TH",RRC-ER/Act Apprentices/2025-26,13-09-2025,Get Details
14/08/2025,Central Railway,Apprentices     – 2418 Posts,ITI,RRC/CR/AA/2025,11-09-2025,Get Details
13/08/2025,RRC Eastern Railway,Apprentice     – 3115 Posts,"ITI, 10TH",RRC/ER/Act Apprentices/2025-26,13-09-2025,Get Details
10/09/2025,ICMR RMRCSVP,Young Professional II     – 04 Posts,"BAMS, Any Post Graduate, M.Com, M.Sc, MBA/PGDM, MS/MD, BSMS",1-51/Appt./YP-II/ICMR-RMRC/SVP/215,29-09-2025,Get Details
10/09/2025,APPSC,Thanedar     – 10 Posts,Other,13/2025,01-10-2025,Get Details
08/09/2025,DMHO Anakapalli,Asha Worker     – 61 Posts,10TH,–,13-09-2025,Get Details
08/09/2025,APMSRB,"Senior Public Health Specialist, Microbiologist and More     – 17 Posts","Any Graduate, B.B.A, B.Sc, B.Tech/B.E, MBBS, DNB, M.Sc, M.E/M.Tech, MBA/PGDM, MCA, MS/MD, MPH",12/2025,20-09-2025,Get Details
08/09/2025,DCHS Guntur,"Doctor, Nurse and More     – 28 Posts","Any Graduate, MBBS, 8TH, 5th, ANM",–,16-09-2025,Get Details
05/09/2025,APCRDA,"Team Leader, Assistant Director and More     – 05 Posts","Any Graduate, B.Arch, BCA, B.Tech/B.E, BSW, M.Arch, MBA/PGDM",18/2025,18-09-2025,Get Details
05/09/2025,APCRDA,"Planning Manager, Senior Design Expert and More     – 08 Posts","B.Tech/B.E, M.E/M.Tech",–,19-09-2025,Get Details
04/09/2025,DCIL,"Fleet Personnel, Trainees     – 19 Posts","B.Tech/B.E, Diploma",06/2025,23-09-2025,Get Details
04/09/2025,DSH Hospitals,"Chowkidar, Ward Boy and More     – 28 Posts","Any Graduate, MBBS, 8TH, 5th, ANM",–,16-09-2025,Get Details
03/09/2025,IIT Tirupati,Project Manager     – 01 Posts,"B.Tech/B.E, M.E/M.Tech",Advt/ IITT/CSRC/25-26/11,10-09-2025,Get Details
03/09/2025,CCI,Temporary Staff,Other,–,27-09-2025,Get Details
03/09/2025,AIIMS Mangalagiri,"Laboratory Technician, Field Worker     – 03 Posts","B.Sc, 12TH, 10TH, DMLT",AIIMS/MG/CFM/PROJECT/RECRUITMENT/IGGAARL/RYSS/02,22-09-2025,Get Details
03/09/2025,Prisons Department Andhra Pradesh,"Pharmacist, Lab Technician and More     – 03 Posts","B.Pharma, B.Sc, Diploma, 10TH, DMLT, MLT",–,15-09-2025,Get Details
02/09/2025,District Court West Godavari,"Head Clerk, Attender and More     – 11 Posts",Any Bachelors Degree,–,12-09-2025,Get Details
02/09/2025,Prisons Department Andhra Pradesh,"Project Coordinator, Nurse and More     – 07 Posts","Any Graduate, B.Sc, 8TH",–,15-09-2025,Get Details
01/09/2025,APMSRB,Deputy Executive Officer     – 48 Posts,MBBS,11/2025,15-09-2025,Get Details
29/08/2025,ANGRAU,"Teaching Associate, Teaching Assistant     – 06 Posts","Any Masters Degree, M.Phil/Ph.D",–,10-09-2025,Get Details
26/08/2025,APMSRB,"General Physician, Pediatrician and More     – 185 Posts",MBBS,08/2025,10-09-2025,Get Details
20/08/2025,BEL,Project Engineer I     – 20 Posts,B.Tech/B.E,383/HR/REC/NS(S&CS)/2025/PRE-I,13-09-2025,Get Details
01/09/2025,ITI Limited,"General Manager, Executive     – 7 Posts","B.Tech/B.E, CA, ICWA, MBA/PGDM, ICSI",–,18-09-2025,Get Details
12/08/2025,APSSB,Laboratory Assistant     – 26 Posts,"B.Sc, B.Tech/B.E, M.Sc",6/25,30-09-2025,Get Details
05/08/2025,APSSB,"Driver, Junior Estimator and More     – 239 Posts","B.Sc, Diploma, B.Lib, 12TH, 10TH",05/25,30-09-2025,Get Details
10/09/2025,Assam PSC,Assistant Engineer     – 50 Posts,B.Tech/B.E,31/2025,14-10-2025,Get Details
10/09/2025,ASSAC,Project Scientist     – 06 Posts,"B.Tech/B.E, M.Sc, M.E/M.Tech, MCA",–,20-09-2025,Get Details
09/09/2025,Tezpur University,Guest Faculty,"B.Tech/B.E, M.E/M.Tech, BS",20 /2025,14-09-2025,Get Details
09/09/2025,MECON,Experienced Professionals     – 47 Posts,B.Tech/B.E,05.73.1/2025/Cont/01,20-09-2025,Get Details
09/09/2025,Assam PSC,Grade IV     – 20 Posts,"12TH, 10TH, 8TH",30/2025,09-10-2025,Get Details
04/09/2025,Directorate of Employment and Craftsmen Training,Junior Instructors     – 95 Posts,12TH,–,03-10-2025,Get Details
04/09/2025,TRTC Guwahati,"Store Assistant, Procurement Assistant and More     – 05 Posts","Any Bachelors Degree, B.Com, B.Tech/B.E",TRTC/Ghy/2025-26/40,12-09-2025,Get Details
03/09/2025,BEL,Project Engineer I     – 16 Posts,B.Tech/B.E,383/HR/REC/MR/25/PE-I,17-09-2025,Get Details
02/09/2025,MHRB Assam,Principal     – 01 Posts,MS/MD,MHRB/67/GAC/2025/4656,15-09-2025,Get Details
02/09/2025,DGFT,Young Professionals     – 02 Posts,Any Post Graduate,–,16-09-2025,Get Details
02/09/2025,DEE Assam,Special Educator     – 108 Posts,"Any Graduate, B.Ed",E - 631844/73,30-09-2025,Get Details
02/09/2025,IIT Guwahati,Junior Technician     – 06 Posts,"Any Bachelors Degree, Diploma",IITG/R/10/2025,15-09-2025,Get Details
01/09/2025,Assam PSC,Urban Technical Officer     – 43 Posts,B.Tech/B.E,29/2025,25-09-2025,Get Details
01/09/2025,Assam PSC,Research Assistant     – 03 Posts,"B.Com, B.Sc",28 /2025,03-10-2025,Get Details
29/08/2025,OIL,"Contractual Mechanical Engineer, Contractual Instrumentation Engineer     – 03 Posts",B.Tech/B.E,–,15-09-2025,Get Details
28/08/2025,POWERGRID,Field Engineer and Supervisor     – 1543 Posts,"B.Sc, B.Tech/B.E, Diploma",CC/03/2025,17-09-2025,Get Details
28/08/2025,Gauhati High Court,Assam Judicial Service Grade I     – 11 Posts,Other,–,14-09-2025,Get Details
26/08/2025,DEE Assam,Special Educator     – 120 Posts,D.P.Ed,E - 631844/68,30-09-2025,Get Details
23/08/2025,CBIC,"Tax Assistant, Havaldar     – 11 Posts","Any Graduate, 10TH",–,13-09-2025,Get Details
18/08/2025,IIT Guwahati,Junior Technician     – 06 Posts,"B.Sc, Diploma, ITI",–,15-09-2025,Get Details
12/08/2025,Assam PSC,Junior Engineer     – 187 Posts,Diploma,27/2025,13-09-2025,Get Details
09/09/2025,BPSC,Project Manager     – 09 Posts,"Any Graduate, B.A, B.Pharma, B.Sc, B.Tech/B.E, MBA/PGDM",–,06-10-2025,Get Details
05/09/2025,BPSC,"Assistant Public Sanitary, Waste Management Officer     – 54 Posts","B.Arch, B.Sc, B.Tech/B.E",–,30-09-2025,Get Details
04/09/2025,Bihar SCPS,"Nurse, Counsellor and More     – 129 Posts","Any Graduate, B.A, LLB, Diploma, 12TH, 10TH, BSW, BPT, Any Masters Degree, LLM, MSW, MPH",–,24-09-2025,Get Details
30/08/2025,AIIMS Patna,Laboratory Technician III     – 01 Posts,"B.Sc, 12TH, DMLT",–,12-09-2025,Get Details
30/08/2025,BPSC,District Sports Officer     – 33 Posts,"Any Graduate, Diploma",90/2025,26-09-2025,Get Details
30/08/2025,ESIC,Adjunct/ Visiting faculty     – 06 Posts,MS/MD,10/ 2025,13-09-2025,Get Details
29/08/2025,ICMR RMRIMS,Young Professionals I     – 03 Posts,B.Sc,ICMR-RMRIMS/YP-I/e-246053/566/2025-26,16-09-2025,Get Details
29/08/2025,BPSC,Head of Department     – 218 Posts,M.Phil/Ph.D,91~107/2025,30-09-2025,Get Details
29/08/2025,ESIC,Teaching Faculty     – 43 Posts,"MBBS, MS/MD",11 of 2025,12-09-2025,Get Details
26/08/2025,BPSC,Assistant Environmental Scientist     – 17 Posts,B.Sc,88/2025,19-09-2025,Get Details
26/08/2025,BSSC,Office Attendant     – 3727 Posts,10TH,06/2025,26-09-2025,Get Details
26/08/2025,BSSC,"Assistant Branch Officer, Auditor and More     – 1481 Posts","Any Graduate, BCA, B.Com, B.Sc, PGDCA",05/25,19-09-2025,Get Details
25/08/2025,BPSC,Assistant Town Planner     – 35 Posts,M.Plan,89/2025,22-09-2025,Get Details
25/08/2025,SHS Bihar,"Laboratory Technician, Senior Laboratory Technician     – 1075 Posts","M.Sc, DMLT, BMLT",09/2025,15-09-2025,Get Details
23/08/2025,BPSC,Assistant Education Development Officer     – 935 Posts,Any Graduate,–,26-09-2025,Get Details
21/08/2025,Patna High Court,Stenographer     – 111 Posts,"Diploma, 12TH",PHC/02/2025,19-09-2025,Get Details
